     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
    -3.86256     0.00006    -0.00003     0.12404    -0.00407     0.00006    -0.00002
    -3.78556     0.00004    -0.00012     0.09874    -0.01460     0.00004    -0.00007
    -3.70956     0.00002    -0.00032     0.09458    -0.03959     0.00003    -0.00018
    -3.63256     0.00002    -0.00065     0.12103    -0.08167     0.00002    -0.00036
    -3.55656     0.00002    -0.00101     0.20987    -0.12879     0.00002    -0.00057
    -3.48056     0.00005    -0.00120     0.41527    -0.15731     0.00003    -0.00069
    -3.40356     0.00022    -0.00113     0.78311    -0.15202     0.00011    -0.00066
    -3.32756     0.00094    -0.00101     1.30393    -0.12163     0.00043    -0.00058
    -3.25156     0.00333    -0.00166     1.91709    -0.08749     0.00149    -0.00082
    -3.17456     0.00993    -0.00557     2.59444    -0.06323     0.00438    -0.00246
    -3.09856     0.02535    -0.01848     3.39695    -0.05001     0.01106    -0.00794
    -3.02256     0.05494    -0.04817     4.32658    -0.04351     0.02377    -0.02060
    -2.94556     0.09858    -0.09584     5.10746    -0.04014     0.04246    -0.04099
    -2.86956     0.14270    -0.14564     5.27615    -0.03804     0.06144    -0.06250
    -2.79356     0.16450    -0.17071     4.63239    -0.03633     0.07115    -0.07372
    -2.71656     0.15191    -0.15736     3.54157    -0.03462     0.06651    -0.06886
    -2.64056     0.11636    -0.11920     2.65564    -0.03291     0.05223    -0.05348
    -2.56456     0.07996    -0.08074     2.35659    -0.03142     0.03755    -0.03789
    -2.48756     0.05564    -0.05553     2.52874    -0.03026     0.02786    -0.02780
    -2.41156     0.04303    -0.04269     2.81388    -0.02936     0.02298    -0.02283
    -2.33556     0.03698    -0.03663     2.99015    -0.02876     0.02078    -0.02061
    -2.25856     0.03390    -0.03365     3.04330    -0.02835     0.01981    -0.01971
    -2.18256     0.03207    -0.03195     2.97269    -0.02801     0.01934    -0.01931
    -2.10556     0.03036    -0.03031     2.69351    -0.02790     0.01879    -0.01879
    -2.02956     0.02872    -0.02867     2.15094    -0.02806     0.01823    -0.01821
    -1.95356     0.02792    -0.02784     1.45332    -0.02826     0.01813    -0.01810
    -1.87656     0.02779    -0.02770     0.80929    -0.02873     0.01836    -0.01832
    -1.80056     0.02721    -0.02715     0.36958    -0.02967     0.01822    -0.01819
    -1.72456     0.02598    -0.02592     0.14551    -0.03096     0.01761    -0.01758
